date,day_of_week,time_of_day,time_slot,stop_name,distance_from_origin,weather,temperature,traffic_level,is_holiday,is_festival,is_special_event,historical_crowd,passenger_count
2025-01-01,Wednesday,08:00,morning_slow,Silk Board,0,sunny,24,7,1,0,0,65,78
2025-01-01,Wednesday,09:00,morning_peak,Agara,2,sunny,25,8,1,0,0,72,89
2025-01-01,Wednesday,10:00,morning_offpeak,HSR Layout,4,cloudy,24,6,1,0,0,54,63
2025-01-02,Thursday,08:00,morning_slow,Silk Board,0,sunny,25,7,0,0,0,61,74
2025-01-02,Thursday,09:00,morning_peak,Agara,2,sunny,26,8,0,0,0,70,85
2025-01-02,Thursday,18:00,evening_peak,Koramangala,6,cloudy,22,8,0,0,0,88,105
2025-01-02,Thursday,19:00,evening_peak,Domlur,10,cloudy,22,9,0,0,0,95,117
2025-01-03,Friday,08:00,morning_slow,Silk Board,0,sunny,24,7,0,0,0,63,75
2025-01-03,Friday,09:00,morning_peak,Agara,2,sunny,25,8,0,0,0,69,82
2025-01-03,Friday,18:00,evening_peak,Koramangala,6,rainy,21,9,0,0,0,92,120
2025-01-03,Friday,19:00,evening_peak,Domlur,10,rainy,21,9,0,0,0,97,125
2025-01-04,Saturday,11:00,midday,HSR Layout,4,cloudy,26,5,0,0,0,48,55
2025-01-04,Saturday,12:00,midday,Koramangala,6,cloudy,27,5,0,0,0,52,61
2025-01-04,Saturday,13:00,midday,Domlur,10,sunny,28,4,0,0,0,45,53
2025-01-05,Sunday,10:00,morning_offpeak,HSR Layout,4,sunny,27,3,0,0,0,32,40
2025-01-05,Sunday,11:00,midday,Koramangala,6,sunny,28,3,0,0,0,35,43
2025-01-05,Sunday,12:00,midday,Domlur,10,sunny,29,3,0,0,0,30,37
2025-01-06,Monday,08:00,morning_slow,Silk Board,0,cloudy,23,7,0,0,0,62,73
2025-01-06,Monday,09:00,morning_peak,Agara,2,cloudy,24,8,0,0,0,75,88
2025-01-06,Monday,10:00,morning_offpeak,HSR Layout,4,sunny,26,6,0,0,0,58,67
2025-01-06,Monday,18:00,evening_peak,Koramangala,6,cloudy,22,8,0,0,0,90,108
2025-01-06,Monday,19:00,evening_peak,Domlur,10,cloudy,22,9,0,0,0,97,115
2025-01-07,Tuesday,08:00,morning_slow,Silk Board,0,sunny,24,7,0,0,0,65,77
